Production Account Quantity Index Value Added (2012=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motion picture and sound recording industries,44.510,43.006,47.937,44.086,43.377,43.673,46.200,43.655,44.649,44.369,41.925,51.176,62.177,55.140,65.024,71.976,71.025,76.620,67.442,75.910,87.090,91.990,101.876,111.962,105.120,100.000,102.308,102.596,110.467,114.166,113.974,121.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadcasting and telecommunications,33.131,34.423,35.935,38.139,38.615,40.685,43.142,45.038,46.547,48.162,46.138,50.030,54.391,60.593,62.235,62.643,64.234,70.729,80.499,84.840,94.783,102.041,97.781,99.664,98.500,100.000,108.950,107.515,119.741,130.413,132.255,138.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data processing, internet publishing, and other information services",20.405,21.176,22.252,23.318,22.978,24.239,25.100,26.793,28.018,29.671,29.876,34.145,27.513,22.586,36.215,56.577,58.585,70.168,67.525,76.188,61.834,78.765,81.078,95.518,108.813,100.000,126.497,145.410,165.925,194.154,227.657,264.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal Reserve banks, credit intermediation, and related activities",51.251,49.700,51.521,53.714,54.840,53.865,55.374,54.454,52.637,52.200,52.195,60.309,70.635,70.770,75.399,82.814,83.969,76.829,83.037,83.224,79.240,80.115,88.608,86.804,94.496,100.000,91.825,93.657,93.329,87.150,83.050,76.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Securities, commodity contracts, and investments",15.028,15.705,15.655,14.621,15.978,18.151,23.571,26.184,33.364,44.684,57.287,58.144,62.036,78.339,110.181,96.551,84.377,83.848,99.008,109.076,89.067,43.662,102.906,99.681,79.044,100.000,98.133,78.882,77.900,90.456,96.880,94.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insurance carriers and related activities,45.177,50.195,50.603,51.766,56.170,60.562,57.991,60.620,63.235,63.367,67.841,73.380,72.499,84.209,78.648,73.519,78.605,87.654,93.166,98.791,107.449,93.573,95.140,95.004,96.199,100.000,93.648,116.139,130.353,133.004,131.987,138.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Funds, trusts, and other financial vehicles",254.163,207.742,283.399,403.699,343.886,309.925,328.635,238.175,249.576,209.011,112.823,165.545,189.105,137.909,146.307,150.102,168.928,184.487,210.229,196.872,236.323,207.658,133.945,152.881,142.291,100.000,125.443,236.856,160.227,108.598,139.107,132.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real estate,51.381,52.743,54.169,54.741,55.262,57.469,59.037,60.944,62.848,63.721,66.216,66.138,69.164,71.326,73.940,75.690,77.436,79.981,84.703,85.307,89.786,91.608,91.575,94.669,98.002,100.000,101.684,103.256,104.494,105.484,107.875,111.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rental and leasing services and lessors of intangible assets,55.307,61.022,63.858,66.866,62.781,64.325,67.618,70.785,72.495,78.213,82.180,91.819,100.154,101.350,111.456,107.935,102.608,96.812,97.320,110.955,105.270,110.596,96.468,95.039,95.270,100.000,104.648,109.186,120.677,131.989,133.591,137.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal services,92.789,105.205,107.339,108.505,105.445,107.932,104.760,101.801,99.569,100.541,99.078,102.827,105.919,109.217,112.106,112.570,116.707,118.073,116.435,117.151,118.216,126.767,111.216,102.649,103.320,100.000,96.677,95.545,97.078,99.904,98.979,98.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer systems design and related services,8.771,9.426,10.208,10.925,11.313,12.351,12.877,13.943,14.911,17.505,22.596,27.447,31.348,34.112,35.588,34.651,38.587,43.363,48.848,54.344,61.682,66.861,70.616,78.828,87.634,100.000,102.002,107.820,116.730,126.970,138.217,151.120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miscellaneous professional, scientific, and technical services",42.499,46.633,51.163,54.939,53.294,55.733,57.143,58.692,60.764,64.634,67.448,69.025,71.930,75.692,77.889,81.398,79.965,81.696,84.602,87.322,89.324,96.390,90.639,93.531,96.581,100.000,100.776,106.332,110.111,111.041,113.182,119.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management of companies and enterprises,81.983,74.161,81.961,84.871,77.546,72.246,71.823,72.987,74.047,76.207,84.647,86.649,86.936,91.689,95.429,94.552,97.703,92.174,92.118,91.746,89.552,90.186,83.357,89.241,92.902,100.000,104.947,111.938,114.894,116.017,124.354,133.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administrative and support services,34.430,36.345,39.222,41.570,40.174,42.288,43.575,45.883,49.625,53.924,59.106,61.518,64.752,69.966,70.868,70.289,75.714,80.236,87.470,90.204,95.143,95.195,87.033,91.611,96.477,100.000,101.815,105.742,107.209,107.924,114.369,120.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste management and remediation services,55.977,59.666,63.386,64.951,63.579,67.346,69.868,73.367,75.058,75.568,76.151,79.128,84.270,84.313,86.561,89.713,92.090,90.058,95.411,88.822,95.661,96.328,95.885,116.112,101.246,100.000,98.611,101.646,102.563,98.012,105.164,106.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Educational services,42.924,43.566,45.038,45.576,47.866,49.649,52.904,56.958,60.382,63.204,66.547,65.780,68.792,71.327,73.187,73.598,77.114,81.753,80.335,82.360,83.640,89.059,96.320,99.115,99.762,100.000,98.420,99.487,101.237,103.136,100.404,101.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambulatory health care services,49.624,50.753,52.785,54.992,56.372,57.672,58.470,59.125,59.566,60.335,60.422,60.432,62.101,65.309,67.437,71.436,73.569,77.495,80.598,85.130,84.909,90.944,92.996,95.103,98.131,100.000,103.101,105.619,111.684,117.169,121.725,127.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitals and nursing and residential care facilities,59.610,59.745,61.477,63.087,63.947,64.224,66.180,66.991,67.507,68.494,69.517,70.115,72.221,73.725,74.798,77.581,80.746,84.252,84.879,87.710,88.953,94.392,98.118,97.333,98.756,100.000,100.335,101.640,104.784,105.202,105.846,107.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social assistance,43.324,44.537,47.941,50.420,50.985,55.823,57.907,60.480,62.559,62.416,69.052,71.764,76.390,79.159,80.767,82.125,87.609,89.101,91.690,93.170,94.559,97.852,97.541,97.715,94.503,100.000,102.179,104.253,106.544,109.291,111.259,115.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Performing arts, spectator sports, museums, and related activities",40.062,40.467,42.633,48.349,47.518,52.147,54.897,55.472,57.116,59.113,62.040,66.002,67.482,70.563,71.217,76.269,80.047,80.920,79.575,83.768,82.156,85.560,87.202,89.120,93.640,100.000,101.239,106.823,102.865,107.257,109.939,115.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amusements, gambling, and recreation industries",49.595,52.912,60.567,64.805,63.679,72.685,70.157,71.600,76.993,80.031,89.662,84.817,89.224,94.149,82.566,83.865,85.467,90.766,92.522,92.974,97.728,95.511,90.266,98.455,98.123,100.000,103.094,106.261,107.276,109.670,111.825,114.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accommodation,61.759,63.806,65.851,65.774,65.074,67.287,69.346,72.442,76.537,80.232,84.540,86.294,91.382,98.430,89.946,91.608,92.525,99.261,99.163,101.562,102.914,99.076,87.594,92.383,98.793,100.000,103.457,104.650,111.300,109.087,111.169,112.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food services and drinking places,59.768,66.350,67.350,68.000,65.849,65.690,69.157,71.479,72.791,75.192,78.933,82.467,87.550,92.607,92.697,94.700,97.343,101.144,101.797,104.591,102.287,98.975,93.458,95.918,98.383,100.000,101.668,105.934,109.396,111.013,113.416,116.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other services, except government",78.520,83.869,88.517,90.796,89.032,92.736,97.295,102.133,105.952,110.199,115.548,120.364,121.136,123.939,111.667,114.778,111.546,113.016,113.804,114.364,111.721,107.613,101.333,99.393,98.503,100.000,99.257,102.117,103.010,102.357,102.453,105.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal,90.968,92.090,93.928,95.989,93.213,93.304,92.290,90.876,89.162,88.236,87.112,86.909,86.488,88.211,86.965,88.146,89.832,91.264,93.113,93.918,94.802,96.397,97.035,100.643,100.180,100.000,98.908,98.565,98.733,100.709,100.662,100.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State and local,63.615,65.466,67.909,69.831,70.364,71.950,72.724,73.564,75.744,76.958,78.390,80.453,82.596,84.540,87.003,89.940,91.719,93.044,94.183,95.411,97.356,98.771,98.865,99.010,99.548,100.000,100.459,101.352,102.298,103.556,104.552,105.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
