year,NAICS,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,Industry,Basis,weight,tfp_pct_change,tfp_index_2017,firms_percent_destroyed
1991,48-49,108925,138464,3194838,3201897,20688,14.99,19783,14.334,538020,189976,348044,5.933,16.803,552417,201820,350597,6.303,17.253,-14397,-0.45,33.606,13862,14095,104733,Transportation and warehousing,All workers,0.01484062062723222,3.1,81.953,12.726187743860454
1991,51,50152,86983,2708850,2729458,14806,17.411,10912,12.832,435958,218819,217139,8.017,15.972,479012,147033,331979,5.387,17.55,-43054,-1.577,31.945,5949,6077,56137,Information,All workers,0.016956729477722806,-1.8,76.814,11.861939703301962
1991,52,175460,334610,5558186,5598464,55446,17.171,32036,9.921,1096787,615078,481709,10.987,19.591,1184403,330227,854176,5.899,21.156,-87616,-1.565,39.182,16280,16811,145059,Finance and insurance,All workers,0.02519834550487282,1.7,99.073,9.278468026900718
1991,53,192901,226371,1589225,1615613,36189,16.124,32340,14.409,377056,201315,175741,12.461,23.338,429473,183322,246151,11.347,26.583,-52417,-3.244,46.677,24345,24774,118608,Real estate and rental and leasing,All workers,0.02566103956466834,-1.6,100.529,12.62046334648343
1991,54,422955,459337,4700470,4718433,64873,14.26,56059,12.323,826034,311248,514786,6.596,17.507,863749,327484,536265,6.941,18.306,-37715,-0.799,35.013,42342,42739,214835,"Professional, scientific, and technical services",All workers,0.02092906626478144,-2.6,92.39,10.010994077384119
1991,55,28507,54558,3247624,3250365,6869,12.855,4622,8.65,518219,183333,334886,5.64,15.943,522192,108360,413832,3.334,16.066,-3973,-0.122,31.887,1178,1211,13503,Management of companies and enterprises,All workers,0.006508976569854994,-4.8,102.839,4.132318377942259
1991,56,212861,243471,4528149,4548750,41657,17.338,35249,14.671,1101385,435206,666179,9.568,24.213,1141860,403128,738732,8.862,25.103,-40475,-0.89,48.426,26593,26921,273101,Administrative and waste management services,All workers,0.009275387892020136,-2.5,89.234,12.493129319133143
1991,61,41299,45934,1920627,1897570,5595,12.348,4351,9.602,196378,45600,150778,2.403,10.349,151657,37145,114512,1.958,7.992,44721,2.357,15.984,3160,3241,26764,Educational services,All workers,0.002005624451172863,3,106.158,7.651516985883436
1991,62,459221,533251,10700895,10545914,48647,9.215,37932,7.186,1291907,414940,876967,3.935,12.25,980241,372975,607266,3.537,9.295,311666,2.955,18.59,28766,29325,255014,Health care and social assistance,All workers,0.02128477701532362,-1.4,111.005,6.264086354935859
1991,71,62817,67838,1097445,1090783,9453,13.905,9742,14.33,204046,74620,129426,6.841,18.706,191306,70783,120523,6.489,17.538,12740,1.168,35.077,7531,7663,53483,"Arts, entertainment, and recreation",All workers,0.0029001529626248995,-1.3,99.289,11.988792842701816
